NC Medicaid Humira Biosimilar Cost Analysis
Generated,2026-03-26
Data Sources,CMS State Drug Utilization Data CY2024; NADAC CY2025; NC PDL Effective 01/01/2026 (rev 03/18/2026)

BASELINE UTILIZATION DATA (CY2024)
Metric,Value
Total Humira Units Reimbursed,44310
Total Humira Prescriptions,16238
Gross Total Reimbursed,171393345.13
Gross Medicaid Reimbursed,167145048.75
Avg Reimbursed Cost per Unit,3868.05
Avg Reimbursed Cost per Rx,10555.08
Existing Biosimilar Units (CY2024),162
Existing Biosimilar Share,<0.4%

NADAC PRICING COMPARISON (2025)
Product,NADAC per Unit,Discount vs Humira
Humira(CF) Pen 40mg/0.4mL,3362.7,0%
Simlandi(CF) 40mg,479.27,85.7%
Yusimry(CF) 40mg,604.15,82.0%
Adalimumab-adbm (generic Cyltezo),636.04,81.1%
Hadlima(CF) 40mg,1260.33,62.5%
Blended Biosimilar Average,744.95,77.8%

NC PDL CO-PREFERRED BIOSIMILARS (Effective 01/01/2026)
Non-proprietary Name,Brand Name,Dosage Forms
adalimumab-adbm,Cyltezo (generic),Pen / Syringe
adalimumab-afzb,Abrilada,Pen / Syringe
adalimumab-bwwd,Hadlima,Syringe / PushTouch
adalimumab-advo,Pyzchiva,Syringe / Vial
adalimumab-ryvk,Simlandi,Autoinjector / Vial

SCENARIO ANALYSIS
Scenario,Biosimilar %,Humira Units,Biosimilar Units,Total Units,Gross Humira Cost,Gross Biosimilar Cost,Gross Total Cost,State Share (30%),Gross Savings vs Baseline,State Savings,% Savings
0% Biosimilar (Baseline),0%,44310,0,44310,171393345.13,0.0,171393345.13,51418003.54,0.0,0.0,0.0%
25% Biosimilar Shift,25%,33232,11078,44310,128545008.85,9492301.12,138037309.97,41411192.99,33356035.16,10006810.55,19.5%
50% Biosimilar Shift,50%,22155,22155,44310,85696672.56,18984602.25,104681274.81,31404382.44,66712070.32,20013621.09,38.9%
75% Biosimilar Shift,75%,11078,33232,44310,42848336.28,28476903.37,71325239.66,21397571.9,100068105.47,30020431.64,58.4%

KEY ASSUMPTIONS
Assumption,Value,Basis
State Share (blended FMAP),30%,User-specified blended FMAP estimate
Humira Reimbursed Cost/Unit,3868.05,CMS SDU CY2024 actual NC data
Biosimilar Reimbursed Cost/Unit,856.9,NADAC ratio applied to actual Humira rate
Total Utilization,44310,Held constant across scenarios (units)
Analysis Type,Gross reimbursement (pre-rebate),Does not reflect MDRP rebates

HISTORICAL TREND (CY2022-CY2024)
Year,Units,Prescriptions,Gross Total,Medicaid Total,Avg Cost/Unit
CY2022,38450,14665,141132925,139855696,3670.6
CY2023,45213,16482,175443208,172953312,3880.35
CY2024,44310,16238,171393345,167145049,3868.05

SFY PROJECTION: CONSERVATIVE ADOPTION SCENARIO
Quarter,Period,SFY,Biosimilar %,Humira Units,Biosimilar Units,Humira Cost/Unit,Biosimilar Cost/Unit,Gross Total,Baseline (No Shift),Gross Savings,State Cost (30%),State Savings (30%)
SFY26_Q1,Jul-Sep 2025,SFY26,0%,11078,0,3868.05,856.9,42848336.28,42848336.28,0.0,12854500.88,0.0
SFY26_Q2,Oct-Dec 2025,SFY26,0%,11078,0,3887.25,845.98,43060989.64,43060989.64,0.0,12918296.89,0.0
SFY26_Q3,Jan-Mar 2026,SFY26,5%,10524,554,3906.54,835.2,41573561.0,43274698.39,1701137.38,12472068.3,510341.22
SFY26_Q4,Apr-Jun 2026,SFY26,10%,9970,1108,3925.93,824.56,40053927.72,43489467.76,3435540.04,12016178.32,1030662.01
SFY27_Q1,Jul-Sep 2026,SFY27,15%,9416,1662,3945.41,814.05,38502160.47,43705303.01,5203142.54,11550648.14,1560942.76
SFY27_Q2,Oct-Dec 2026,SFY27,20%,8862,2216,3964.99,803.68,36918325.07,43922209.44,7003884.36,11075497.52,2101165.31
SFY27_Q3,Jan-Mar 2027,SFY27,25%,8308,2769,3984.67,793.44,35302482.56,44140192.36,8837709.8,10590744.77,2651312.94
SFY27_Q4,Apr-Jun 2027,SFY27,30%,7754,3323,4004.45,783.33,33654689.18,44359257.11,10704567.93,10096406.75,3211370.38
SFY26 TOTAL,,SFY26,,,,,,167536814.65,172673492.07,5136677.42,50261044.39,1541003.23
SFY27 TOTAL,,SFY27,,,,,,144377657.28,176126961.91,31749304.63,43313297.18,9524791.39
CUMULATIVE,,SFY26+27,,,,,,311914471.93,348800453.98,36885982.06,93574341.58,11065794.62

SFY PROJECTION: MODERATE ADOPTION SCENARIO
Quarter,Period,SFY,Biosimilar %,Humira Units,Biosimilar Units,Humira Cost/Unit,Biosimilar Cost/Unit,Gross Total,Baseline (No Shift),Gross Savings,State Cost (30%),State Savings (30%)
SFY26_Q1,Jul-Sep 2025,SFY26,0%,11078,0,3868.05,856.9,42848336.28,42848336.28,0.0,12854500.88,0.0
SFY26_Q2,Oct-Dec 2025,SFY26,0%,11078,0,3887.25,845.98,43060989.64,43060989.64,0.0,12918296.89,0.0
SFY26_Q3,Jan-Mar 2026,SFY26,10%,9970,1108,3906.54,835.2,39872423.62,43274698.39,3402274.77,11961727.09,1020682.43
SFY26_Q4,Apr-Jun 2026,SFY26,20%,8862,2216,3925.93,824.56,36618387.68,43489467.76,6871080.08,10985516.3,2061324.02
SFY27_Q1,Jul-Sep 2026,SFY27,30%,7754,3323,3945.41,814.05,33299017.93,43705303.01,10406285.08,9989705.38,3121885.52
SFY27_Q2,Oct-Dec 2026,SFY27,40%,6646,4431,3964.99,803.68,29914440.71,43922209.44,14007768.72,8974332.21,4202330.62
SFY27_Q3,Jan-Mar 2027,SFY27,50%,5539,5539,3984.67,793.44,26464772.76,44140192.36,17675419.6,7939431.83,5302625.88
SFY27_Q4,Apr-Jun 2027,SFY27,55%,4985,6093,4004.45,783.33,24734215.9,44359257.11,19625041.21,7420264.77,5887512.36
SFY26 TOTAL,,SFY26,,,,,,162400137.22,172673492.07,10273354.85,48720041.17,3082006.45
