state,medicaid,chip,total,children,adults,expansion
Alaska,201512,12888,214400,86376,115136,Expanded
Alabama,748438,189159,937597,670669,77769,Not Expanded
Arkansas,726938,81340,808278,413296,313642,Expanded
Arizona,1628913,115712,1744625,760947,867966,Expanded
California,11896822,1231000,13127822,4863003,7033819,Expanded
Colorado,1057804,139416,1197220,524619,533185,Expanded
Connecticut,888643,24765,913408,367264,521379,Expanded
District of Columbia,242158,16312,258470,95487,146671,Expanded
Delaware,230166,13639,243805,107967,122199,Expanded
Florida,3476089,163518,3639607,2342269,1133820,Not Expanded
Georgia,1686876,190387,1877263,1328567,358309,Not Expanded
Hawaii,366223,23958,390181,152458,213765,Expanded
Iowa,581470,85419,666889,332342,249128,Expanded
Idaho,293370,19328,312698,152888,140482,Expanded
Illinois,2760467,307030,3067497,1376200,1384267,Expanded
Indiana,1461584,124984,1586568,738802,722782,Expanded
Kansas,327974,72901,400875,279735,48239,Not Expanded
Kentucky,1221762,136214,1357976,624924,596838,Expanded
Louisiana,1300606,139731,1440337,694024,606582,Expanded
Massachusetts,1411397,187649,1599046,689076,722321,Expanded
Maryland,1212284,199702,1411986,673859,538425,Expanded
Maine,312910,27501,340411,140280,172630,Expanded
Michigan,2155035,169344,2324379,908188,1246847,Expanded
Minnesota,1173096,4578,1177674,610268,562828,Expanded
Missouri,1119242,133863,1253105,578188,541054,Expanded
Mississippi,507140,84167,591307,394691,112449,Not Expanded
Montana,191157,20263,211420,91408,99749,Expanded
North Carolina,2521288,347035,2868323,1436205,1085083,Expanded
North Dakota,99990,5215,105205,51300,48690,Expanded
Nebraska,297775,36626,334401,172560,125215,Expanded
New Hampshire,160638,19083,179721,88292,72346,Expanded
New Jersey,1482752,258922,1741674,803670,679082,Expanded
New Mexico,646450,42656,689106,311177,335273,Expanded
Nevada,689962,48390,738352,320624,369338,Expanded
New York,5844680,672253,6516933,2458806,3385874,Expanded
Ohio,2534444,241403,2775847,1196251,1338193,Expanded
Oklahoma,910072,79912,989984,520695,389377,Expanded
Oregon,1121409,183554,1304963,473004,648405,Expanded
Pennsylvania,2739207,280236,3019443,1421331,1317876,Expanded
Rhode Island,270410,32941,303351,119323,151087,Expanded
South Carolina,890091,110455,1000546,618200,271891,Not Expanded
South Dakota,122307,14011,136318,76697,45610,Expanded
Tennessee,1246975,180378,1427353,844917,402058,Not Expanded
Texas,3830057,344933,4174990,3195359,634698,Not Expanded
Utah,297030,35236,332266,169693,127337,Expanded
Virginia,1499480,193201,1692681,808202,691278,Expanded
Vermont,147935,5324,153259,57928,90007,Expanded
Washington,1725497,62532,1788029,822223,903274,Expanded
Wisconsin,1026197,98750,1124947,538332,487865,Not Expanded
West Virginia,458947,39241,498188,198029,260918,Expanded
Wyoming,53659,5912,59571,40584,13075,Not Expanded
